value,label
coimbatore,address
Dr.Prabu,doctorname
290 mg/dL,sugar
9,age
bangalore,address
hosur,address
7 g/dL,haemoglobin
A -ve,bloodgroup
61,age
8058949492,phoneno
diabetes mellitus,diseasecondition
chennai,address
diabetes mellitus,diseasecondition
diabetes,diseasecondition
A -ve,bloodgroup
Dr.Ajith,doctorname
10 g/dL,haemoglobin
Female,gender
14 g/dL,haemoglobin
72,age
19,age
01-01-2021,dob
coimbatore,address
3828612841,phoneno
ckd,diseasecondition
A -ve,bloodgroup
02-01-2021,dob
Dr.Raj,doctorname
trichy,address
Dr.Prabu,doctorname
16 g/dL,haemoglobin
5,age
Dr.Ganesh,doctorname
265 mg/dL,sugar
ckd,diseasecondition
18 g/dL,haemoglobin
Dr.Ajith,doctorname
coimbatore,address
88,age
7 g/dL,haemoglobin
Gender,irrelevant
bangalore,address
Dr.Prabu,doctorname
16 g/dL,haemoglobin
46,age
5 g/dL,haemoglobin
coimbatore,address
diabetes mellitus,diseasecondition
Dr.Vijay,doctorname
19 g/dL,haemoglobin
Dr.Raj,doctorname
hosur,address
AGE,irrelevant
3242192633,phoneno
01-01-2021,dob
7737739807,phoneno
Haemoglobin,irrelevant
11 g/dL,haemoglobin
7 g/dL,haemoglobin
04-01-2021,dob
7 g/dL,haemoglobin
Female,gender
41,age
A +ve,bloodgroup
ckd,diseasecondition
Dr.Ganesh,doctorname
bangalore,address
45 mg/dL,sugar
01-01-2021,dob
276 mg/dL,sugar
2829868970,phoneno
280 mg/dL,sugar
224 mg/dL,sugar
Dr.Vijay,doctorname
14 g/dL,haemoglobin
Dr.Ajith,doctorname
Male,gender
8108536455,phoneno
hypertension,diseasecondition
Male,gender
Male,gender
Dr.Ganesh,doctorname
Dr.Raj,doctorname
9989659578,phoneno
70,age
hosur,address
36,age
29,age
Address,irrelevant
103 mg/dL,sugar
A +ve,bloodgroup
02-01-2021,dob
B -ve,bloodgroup
15 g/dL,haemoglobin
Female,gender
Dr.Ajith,doctorname
Phone Number,irrelevant
Phone Number,irrelevant
104 mg/dL,sugar
05-01-2021,dob
trichy,address
8 g/dL,haemoglobin
6656185717,phoneno
8 g/dL,haemoglobin
315 mg/dL,sugar
04-01-2021,dob
hosur,address
01-01-2021,dob
232 mg/dL,sugar
Disease Condition,irrelevant
16 g/dL,haemoglobin
144 mg/dL,sugar
13 g/dL,haemoglobin
98,age
A +ve,bloodgroup
coimbatore,address
92,age
coimbatore,address
92,age
bangalore,address
17 g/dL,haemoglobin
Male,gender
98,age
Dr.Raj,doctorname
hosur,address
chennai,address
chennai,address
Male,gender
04-01-2021,dob
11 g/dL,haemoglobin
7 g/dL,haemoglobin
317 mg/dL,sugar
15 g/dL,haemoglobin
Dr.Prabu,doctorname
1579041231,phoneno
13,age
31,age
01-01-2021,dob
278 mg/dL,sugar
1,age
Phone Number,irrelevant
Dr.Raj,doctorname
bangalore,address
9067727588,phoneno
trichy,address
hypertension,diseasecondition
Disease Condition,irrelevant
B -ve,bloodgroup
O +ve,bloodgroup
4597823963,phoneno
Male,gender
2670619898,phoneno
O +ve,bloodgroup
322 mg/dL,sugar
hosur,address
13 g/dL,haemoglobin
Male,gender
195 mg/dL,sugar
30,age
A +ve,bloodgroup
coimbatore,address
O +ve,bloodgroup
Address,irrelevant
B -ve,bloodgroup
13 g/dL,haemoglobin
Dr.Vijay,doctorname
B +ve,bloodgroup
02-01-2021,dob
Blood Group,irrelevant
A +ve,bloodgroup
O +ve,bloodgroup
11 g/dL,haemoglobin
332 mg/dL,sugar
02-01-2021,dob
cardiac disease,diseasecondition
33,age
Phone Number,irrelevant
154 mg/dL,sugar
48,age
23,age
19 g/dL,haemoglobin
45 mg/dL,sugar
57,age
266 mg/dL,sugar
05-01-2021,dob
126 mg/dL,sugar
03-01-2021,dob
diabetes,diseasecondition
94,age
01-01-2021,dob
Dr.Raj,doctorname
A +ve,bloodgroup
15 g/dL,haemoglobin
56,age
hypertension,diseasecondition
71 mg/dL,sugar
9561641079,phoneno
Phone Number,irrelevant
Sugar,irrelevant
Female,gender
Male,gender
Gender,irrelevant
trichy,address
02-01-2021,dob
5456461985,phoneno
cardiac disease,diseasecondition
3831689797,phoneno
6450241135,phoneno
Address,irrelevant
hosur,address
Male,gender
264 mg/dL,sugar
6750672254,phoneno
77,age
10 g/dL,haemoglobin
68,age
3589584852,phoneno
Haemoglobin,irrelevant
05-01-2021,dob
19,age
hypertension,diseasecondition
diabetes mellitus,diseasecondition
02-01-2021,dob
5556204342,phoneno
2725519661,phoneno
AGE,irrelevant
bangalore,address
258 mg/dL,sugar
Female,gender
311 mg/dL,sugar
04-01-2021,dob
diabetes mellitus,diseasecondition
coimbatore,address
8505855958,phoneno
05-01-2021,dob
3285571791,phoneno
11 g/dL,haemoglobin
chennai,address
Dr.Raj,doctorname
bangalore,address
Male,gender
2538120009,phoneno
54,age
Female,gender
Blood Group,irrelevant
Female,gender
hypertension,diseasecondition
Dr.Prabu,doctorname
B +ve,bloodgroup
Dr.Vijay,doctorname
A +ve,bloodgroup
93,age
11 g/dL,haemoglobin
Phone Number,irrelevant
B +ve,bloodgroup
9 g/dL,haemoglobin
hypertension,diseasecondition
O +ve,bloodgroup
Sugar,irrelevant
diabetes mellitus,diseasecondition
12 g/dL,haemoglobin
trichy,address
9637983373,phoneno
01-01-2021,dob
38,age
Dr.Vijay,doctorname
10 g/dL,haemoglobin
11 g/dL,haemoglobin
A +ve,bloodgroup
Male,gender
Address,irrelevant
AGE,irrelevant
hosur,address
Dr.Prabu,doctorname
03-01-2021,dob
315 mg/dL,sugar
01-01-2021,dob
Female,gender
A +ve,bloodgroup
cardiac disease,diseasecondition
7 g/dL,haemoglobin
208 mg/dL,sugar
13 g/dL,haemoglobin
315 mg/dL,sugar
Female,gender
chennai,address
trichy,address
A +ve,bloodgroup
chennai,address
Blood Group,irrelevant
7779652897,phoneno
8280281323,phoneno
03-01-2021,dob
179 mg/dL,sugar
Dr.Ajith,doctorname
89,age
hypertension,diseasecondition
Male,gender
diabetes,diseasecondition
Dr.Prabu,doctorname
ckd,diseasecondition
20,age
10 g/dL,haemoglobin
160 mg/dL,sugar
184 mg/dL,sugar
01-01-2021,dob
Blood Group,irrelevant
Dr.Ajith,doctorname
03-01-2021,dob
AGE,irrelevant
cardiac disease,diseasecondition
Dr.Ganesh,doctorname
384 mg/dL,sugar
7 g/dL,haemoglobin
63 mg/dL,sugar
02-01-2021,dob
22,age
02-01-2021,dob
72 mg/dL,sugar
